음 식 명|중량(g)|에너지(kcal)|탄수화물(g)|단백질(g)|지방(g)|당류(g)|나트륨(mg)
배추김치|50|18.4315|4.155|1.145|0.2975|0.498|309.5255
백김치|50|19.8035|4.3755|0.798|0.2645|0|211.718
부추김치|50|32.9105|6.2875|1.875|0.5695|3.486|399.378
열무김치|50|16.285|3.1555|1.343|0.3485|1.195|308.349
열무얼갈이김치|50|16.57|3.0255|1.269|0.4035|0|344.201
오이소박이|50|16.6675|2.9565|0.9425|0.532|1.195|276.1935
총각김치|50|17.5645|3.436|1.03|0.369|0|347.1705
파김치|50|28.005|5.472|1.5545|0.702|0.996|395.865
간장게장|250|292.7025|13.885|32.665|2.0875|0.17025|3075.5325
마늘쫑장아찌|50|28.2695|6.1875|1.045|0.13|2.3475|778.6005
고추장아찌|30|22.356|4.1814|0.8034|0.0882|2.997|787.299
깻잎장아찌|30|33.6351|7.8723|2.1138|0.3576|2.78169|568.7526
마늘장아찌|30|16.0554|3.0663|0.7872|0.0204|0.2997|481.749
무장아찌|30|27.3372|5.31465|0.56694|0.2607|3.2967|933.28224
양념게장|200|275.554|46.33|20.41|2.058|26.52|1747.844
양파장아찌|50|19.715|3.5385|0.577|0.05|1.4985|423.605
오이지|50|11.44|2.392|1.144|0.312|0|925.9975
무피클|50|17|4.192|0.404|0.052|1.992|6.6
오이피클|50|54|14.642|0.304|0.152|1.992|333.6
단무지|30|3.9042|0.6641|0.1129|0.1632|0.2299|173.5504
오징어젓갈|10|6.826|0.2936|1.2384|0.09768|0|179.109
명란젓|10|12|0.27|2.05|0.3|0|353.1
생연어|100|110.29|1.002|20.908|1.938|0|213.06
생선물회|800|575.0052|81.4548|36.7668|14.1288|29.3748|2986.2336
광어회 |100|116.2|9.34|17.2|1.36|5.46|754.4
훈제연어|100|169|9.34|19.28|6.16|5.46|1260.8
육회|150|236.556|15.9465|25.032|8.049|7.0425|433.4235
육사시미|150|203.55|6.96|29.28|6.075|4.095|888.03
가래떡|100|205.042|45.045|3.52|0.325|0|254.681
경단|100|303.79|67.042|6.584|0.538|0|186.364
꿀떡|100|225.916|50.356|3.236|0.761|9.5805|251.339
시루떡|100|223.62|49.029|5.5|0.275|5.994|278.948
메밀전병|100|166.141|24.821|5.792|5.496|0|340.662
찰떡|100|216.185|44.876|5.807|1.24|5.495|236.819
무지개떡|100|218.18|48.698|4.004|0.865|6.993|277.709
백설기|100|218.82|48.195|4.044|0.792|11.988|296.946
송편|100|234.899|46.821|4.17|2.698|1.5163|236.545
수수부꾸미|100|258.99|46.151|5.498|5.668|2.997|270.036
수수팥떡|100|212.73|45.17|5.98|0.678|0.999|236.379
쑥떡|100|238.06|54.64|4.531|0.45|9.99|256.148
약식|100|232.213|48.882|3.827|2.27|7.992|290.644
인절미|100|214.46|42.554|6.401|1.764|0|337.74
절편|100|197.812|44.074|3.06|0.35|4.995|266.77
증편|100|198.693|44.216|2.536|0.342|15.984|259.038
찹쌀떡|100|264.74|62.076|3.409|0.231|13.986|226.381
매작과|30|121.4775|19.0629|2.5542|3.5703|0|31.0458
다식|30|105.1665|20.8107|3.5463|1.7286|6.4557|3.849
약과|30|113.8494|22.1832|2.574|1.2387|2.1519|16.4598
유과|30|129.06|24.1365|0.3609|3.504|1.12095|7.0554
산자|30|121.6985|24.70195|0.91035|1.19665|10.632825|8.01255
깨강정|30|150.3|13.62|4.5|9.87|0|24.3
